Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Country,City,State,Product ID,Sub-Category,Product Name,Sales,Quantity,Profit,Returns,Payment Mode,ind1,ind2,Month,Year,Region_East,Region_South,Region_West,Category_Office Supplies,Category_Technology,Segment_Corporate,Segment_Home Office,Predicted_Sales
5868,CA-2019-158211,2019-01-04,08-01-2019,Standard Class,BP-11185,Ben Peterman,United States,Philadelphia,Pennsylvania,OFF-AR-10004078,Art,Newell 312,4.672,1,0.584,,Online,,,1,2019,True,False,False,True,False,True,False,22.010100000000016
5869,CA-2019-158211,2019-01-04,08-01-2019,Standard Class,BP-11185,Ben Peterman,United States,Philadelphia,Pennsylvania,OFF-BI-10002026,Binders,Avery Arch Ring Binders,104.58,6,-80.178,,Online,,,1,2019,True,False,False,True,False,True,False,173.10736999999997
863,CA-2019-134474,2019-01-05,07-01-2019,Second Class,AJ-10795,Anthony Johnson,United States,Jacksonville,Florida,TEC-AC-10001714,Accessories,Logitech MX Performance Wireless Mouse,191.472,6,40.6878,,COD,,,1,2019,False,True,False,False,True,True,False,310.1876
864,CA-2019-134474,2019-01-05,07-01-2019,Second Class,AJ-10795,Anthony Johnson,United States,Jacksonville,Florida,OFF-AR-10003958,Art,Newell 337,5.248,2,0.5904,,Online,,,1,2019,False,True,False,True,False,True,False,36.542380000000016
865,CA-2019-134474,2019-01-05,07-01-2019,Second Class,AJ-10795,Anthony Johnson,United States,Jacksonville,Florida,TEC-PH-10002923,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",59.184,2,5.1786,,COD,,,1,2019,False,True,False,False,True,True,False,115.09130000000005
2162,CA-2019-101938,2019-01-07,12-01-2019,Standard Class,DW-13480,Dianna Wilson,United States,Oakland,California,OFF-AR-10003696,Art,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,34.58,1,10.0282,,COD,,,1,2019,False,False,True,True,False,False,True,195.21513999999996
8031,CA-2019-158806,2019-01-07,11-01-2019,Standard Class,NM-18520,Neoma Murray,United States,Amarillo,Texas,FUR-FU-10004270,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",23.076,3,-10.9611,,COD,,,1,2019,False,False,False,False,False,False,False,94.08112399999993
8032,CA-2019-158806,2019-01-07,11-01-2019,Standard Class,NM-18520,Neoma Murray,United States,Amarillo,Texas,OFF-PA-10004621,Paper,Xerox 212,25.92,5,9.072,,Cards,,,1,2019,False,False,False,True,False,False,False,88.22679999999995
6851,US-2019-100461,2019-01-08,12-01-2019,Standard Class,JO-15145,Jack O'Briant,United States,Franklin,Wisconsin,FUR-BO-10002545,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1565.88,6,407.1288,,Online,,,1,2019,False,False,False,False,False,True,False,1610.6601200000018
6852,US-2019-100461,2019-01-08,12-01-2019,Standard Class,JO-15145,Jack O'Briant,United States,Franklin,Wisconsin,OFF-BI-10001460,Binders,Plastic Binding Combs,106.05,7,49.8435,,Cards,,,1,2019,False,False,False,True,False,True,False,178.52755999999977
7808,US-2019-137295,2019-01-08,13-01-2019,Standard Class,VS-21820,Vivek Sundaresam,United States,Raleigh,North Carolina,OFF-BI-10004236,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",30.828,7,-24.6624,,Cards,,,1,2019,False,True,False,True,False,False,False,119.05232000000004
7809,US-2019-137295,2019-01-08,13-01-2019,Standard Class,VS-21820,Vivek Sundaresam,United States,Raleigh,North Carolina,OFF-AR-10001955,Art,Newell 319,47.616,3,5.952,,COD,,,1,2019,False,True,False,True,False,False,False,53.18721999999998
7810,US-2019-137295,2019-01-08,13-01-2019,Standard Class,VS-21820,Vivek Sundaresam,United States,Raleigh,North Carolina,TEC-PH-10004080,Phones,Avaya 5410 Digital phone,108.784,2,10.8784,,COD,,,1,2019,False,True,False,False,True,False,False,119.71579999999989
3209,CA-2019-108882,2019-01-09,15-01-2019,Standard Class,LA-16780,Laura Armstrong,United States,Fresno,California,TEC-AC-10000420,Accessories,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,349.95,5,118.983,,COD,,,1,2019,False,False,True,False,True,True,False,848.5338
3210,CA-2019-108882,2019-01-09,15-01-2019,Standard Class,LA-16780,Laura Armstrong,United States,Fresno,California,TEC-PH-10002726,Phones,netTALK DUO VoIP Telephone Service,377.928,9,141.723,,Cards,,,1,2019,False,False,True,False,True,True,False,825.7030599999997
3702,CA-2019-126543,2019-01-09,13-01-2019,Second Class,MF-17665,Maureen Fritzler,United States,Toledo,Ohio,FUR-FU-10002445,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",15.168,2,3.792,,Cards,,,1,2019,True,False,False,False,False,True,False,43.812699999999985
4667,CA-2019-116547,2019-01-10,17-01-2019,Standard Class,KB-16585,Ken Black,United States,Seattle,Washington,FUR-FU-10000076,Furnishings,24-Hour Round Wall Clock,79.92,4,34.3656,,Cards,,,1,2019,False,False,True,False,False,True,False,248.9366099999996
4668,CA-2019-116547,2019-01-10,17-01-2019,Standard Class,KB-16585,Ken Black,United States,Seattle,Washington,TEC-AC-10002335,Accessories,Logitech Media Keyboard K200,69.98,2,13.2962,,COD,,,1,2019,False,False,True,False,True,True,False,114.38379999999981
6970,CA-2019-163937,2019-01-10,13-01-2019,Second Class,JB-16000,Joy Bell-,United States,Longview,Washington,FUR-FU-10000010,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",24.85,5,7.7035,,Cards,,,1,2019,False,False,True,False,False,False,False,141.48984000000016
1026,CA-2019-126529,2019-01-11,13-01-2019,Second Class,DE-13255,Deanra Eno,United States,Springfield,Ohio,OFF-PA-10001166,Paper,Xerox 2,15.552,3,5.4432,,Online,,,1,2019,True,False,False,True,False,False,True,79.31493999999996
1027,CA-2019-126529,2019-01-11,13-01-2019,Second Class,DE-13255,Deanra Eno,United States,Springfield,Ohio,OFF-PA-10003656,Paper,Xerox 1935,63.312,3,20.5764,,Cards,,,1,2019,True,False,False,True,False,False,True,107.54240000000001
1028,CA-2019-126529,2019-01-11,13-01-2019,Second Class,DE-13255,Deanra Eno,United States,Springfield,Ohio,TEC-PH-10000148,Phones,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,15.588,2,-9.8724,,Online,,,1,2019,True,False,False,False,True,False,True,44.59834000000008
8522,CA-2019-141887,2019-01-11,15-01-2019,Standard Class,MP-17470,Mark Packer,United States,Columbus,Ohio,FUR-FU-10002268,Furnishings,Ultra Door Push Plate,54.992,14,8.9362,,Online,,,1,2019,True,False,False,False,False,False,True,230.64325999999997
7269,CA-2019-133368,2019-01-14,20-01-2019,Standard Class,AG-10675,Anna Gayman,United States,Concord,North Carolina,OFF-PA-10004039,Paper,Xerox 1882,89.568,2,32.4684,,Cards,,,1,2019,False,True,False,True,False,False,False,672.3286400000001
7270,CA-2019-133368,2019-01-14,20-01-2019,Standard Class,AG-10675,Anna Gayman,United States,Concord,North Carolina,FUR-FU-10003374,Furnishings,Electrix Fluorescent Magnifier Lamps & Weighted Base,315.776,8,31.5776,,Online,,,1,2019,False,True,False,False,False,False,False,330.62744000000055
2878,CA-2019-152072,2019-01-15,19-01-2019,Standard Class,Dp-13240,Dean percer,United States,Westfield,New Jersey,OFF-EN-10003040,Envelopes,Quality Park Security Envelopes,52.34,2,24.5998,,Cards,,,1,2019,True,False,False,True,False,False,True,114.84664000000002
2879,CA-2019-152072,2019-01-15,19-01-2019,Standard Class,Dp-13240,Dean percer,United States,Westfield,New Jersey,OFF-AR-10001573,Art,American Pencil,4.66,2,1.3514,,COD,,,1,2019,True,False,False,True,False,False,True,43.17071999999995
2880,CA-2019-152072,2019-01-15,19-01-2019,Standard Class,Dp-13240,Dean percer,United States,Westfield,New Jersey,TEC-AC-10000844,Accessories,Logitech Gaming G510s - Keyboard,254.97,3,91.7892,,Cards,,,1,2019,True,False,False,False,True,False,True,564.7069200000002
3236,CA-2019-140746,2019-01-15,15-01-2019,Same Day,RC-19825,Roy Collins,United States,Fairfield,Connecticut,FUR-TA-10002903,Tables,"Bevis Round Bullnose 29"" High Table Top",181.797,1,-15.5826,,COD,,,1,2019,True,False,False,False,False,False,False,179.05874399999996
3742,CA-2019-137848,2019-01-15,21-01-2019,Standard Class,WB-21850,William Brown,United States,New York City,New York,OFF-EN-10001137,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box",16.52,4,7.5992,,Online,,,1,2019,True,False,False,True,False,False,False,33.824219999999976
3743,CA-2019-137848,2019-01-15,21-01-2019,Standard Class,WB-21850,William Brown,United States,New York City,New York,OFF-PA-10004285,Paper,Xerox 1959,60.12,9,28.8576,,COD,,,1,2019,True,False,False,True,False,False,False,131.60644000000028
3744,CA-2019-137848,2019-01-15,21-01-2019,Standard Class,WB-21850,William Brown,United States,New York City,New York,OFF-BI-10002225,Binders,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",49.536,3,17.3376,,Cards,,,1,2019,True,False,False,True,False,False,False,62.752740000000024
5968,CA-2019-166912,2019-01-15,17-01-2019,First Class,BE-11335,Bill Eplett,United States,New York City,New York,OFF-PA-10001033,Paper,Xerox 1893,81.98,2,40.1702,,Online,,,1,2019,True,False,False,True,False,False,True,353.0384199999997
26,CA-2019-121755,2019-01-16,20-01-2019,Second Class,EH-13945,Eric Hoffmann,United States,Los Angeles,California,OFF-BI-10001634,Binders,Wilson Jones Active Use Binders,11.648,2,4.2224,,Cards,,,1,2019,False,False,True,True,False,False,False,53.35554000000006
27,CA-2019-121755,2019-01-16,20-01-2019,Second Class,EH-13945,Eric Hoffmann,United States,Los Angeles,California,TEC-AC-10003027,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,11.7741,,COD,,,1,2019,False,False,True,False,True,False,False,142.72472000000005
876,CA-2019-116736,2019-01-17,21-01-2019,Standard Class,CC-12430,Chuck Clark,United States,Concord,New Hampshire,FUR-FU-10004017,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",322.59,3,64.518,,COD,,,1,2019,True,False,False,False,False,False,True,311.32025999999996
877,CA-2019-116736,2019-01-17,21-01-2019,Standard Class,CC-12430,Chuck Clark,United States,Concord,New Hampshire,TEC-AC-10003628,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,29.99,1,13.1956,,Online,,,1,2019,True,False,False,False,True,False,True,61.920819999999864
878,CA-2019-116736,2019-01-17,21-01-2019,Standard Class,CC-12430,Chuck Clark,United States,Concord,New Hampshire,TEC-AC-10002049,Accessories,Logitech G19 Programmable Gaming Keyboard,371.97,3,66.9546,,Online,,,1,2019,True,False,False,False,True,False,True,271.73090999999977
2303,CA-2019-106558,2019-01-17,21-01-2019,Standard Class,DL-13495,Dionis Lloyd,United States,Columbus,Georgia,TEC-AC-10001142,Accessories,First Data FD10 PIN Pad,316.0,4,31.6,,Online,,,1,2019,False,True,False,False,True,True,False,300.15216
2876,US-2019-167339,2019-01-21,23-01-2019,Second Class,TD-20995,Tamara Dahlen,United States,San Diego,California,FUR-CH-10004289,Chairs,Global Super Steno Chair,153.568,2,-5.7588,,COD,,,1,2019,False,False,True,False,False,False,False,162.46883399999984
2877,US-2019-167339,2019-01-21,23-01-2019,Second Class,TD-20995,Tamara Dahlen,United States,San Diego,California,FUR-CH-10000785,Chairs,Global Ergonomic Managers Chair,1013.488,7,76.0116,,COD,,,1,2019,False,False,True,False,False,False,False,871.8315349999995
268,CA-2019-111010,2019-01-22,28-01-2019,Standard Class,PG-18895,Paul Gonzalez,United States,Morristown,New Jersey,OFF-FA-10003472,Fasteners,Bagged Rubber Bands,7.56,6,0.3024,,COD,,,1,2019,True,False,False,True,False,False,False,53.53030000000004
2471,US-2019-135923,2019-01-22,28-01-2019,Standard Class,CM-11935,Carlos Meador,United States,Fayetteville,North Carolina,FUR-FU-10002107,Furnishings,Eldon Pizzaz Desk Accessories,14.272,8,4.2816,,COD,,,1,2019,False,True,False,False,False,False,False,64.14589999999997
2472,US-2019-135923,2019-01-22,28-01-2019,Standard Class,CM-11935,Carlos Meador,United States,Fayetteville,North Carolina,FUR-BO-10002213,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",451.136,4,-67.6704,,COD,,,1,2019,False,True,False,False,False,False,False,455.8933699999993
2473,US-2019-135923,2019-01-22,28-01-2019,Standard Class,CM-11935,Carlos Meador,United States,Fayetteville,North Carolina,OFF-AP-10000692,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.864,4,6.4864,,COD,,,1,2019,False,True,False,True,False,False,False,83.06035999999989
2694,CA-2019-138079,2019-01-22,28-01-2019,Standard Class,AJ-10795,Anthony Johnson,United States,Seattle,Washington,FUR-FU-10001475,Furnishings,"Contract Clock, 14"", Brown",109.9,5,37.366,,Online,,,1,2019,False,False,True,False,False,True,False,212.19119000000012
5675,CA-2019-146318,2019-01-22,27-01-2019,Standard Class,MC-17275,Marc Crier,United States,Seattle,Washington,OFF-PA-10003953,Paper,Xerox 218,12.96,2,6.2208,,Online,,,1,2019,False,False,True,True,False,False,False,39.66114000000003
5752,CA-2019-125850,2019-01-22,28-01-2019,Standard Class,FP-14320,Frank Preis,United States,San Diego,California,OFF-LA-10003498,Labels,Avery 475,44.4,3,22.2,,Online,,,1,2019,False,False,True,True,False,False,False,64.27303999999991
5753,CA-2019-125850,2019-01-22,28-01-2019,Standard Class,FP-14320,Frank Preis,United States,San Diego,California,OFF-LA-10004484,Labels,Avery 476,20.65,5,9.499,,Online,,,1,2019,False,False,True,True,False,False,False,66.8943799999999
6229,CA-2019-148208,2019-01-22,27-01-2019,Standard Class,BT-11530,Bradley Talbott,United States,Cleveland,Ohio,TEC-PH-10004093,Phones,Panasonic Kx-TS550,110.376,4,-20.2356,,Online,,,1,2019,True,False,False,False,True,False,True,121.80523000000007
6230,CA-2019-148208,2019-01-22,27-01-2019,Standard Class,BT-11530,Bradley Talbott,United States,Cleveland,Ohio,TEC-AC-10000171,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",55.176,3,15.8631,,Cards,,,1,2019,True,False,False,False,True,False,True,106.88785999999995
6238,US-2019-155180,2019-01-22,29-01-2019,Standard Class,TB-21280,Toby Braunhardt,United States,New York City,New York,OFF-BI-10004506,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,26.336,4,9.2176,,Online,,,1,2019,True,False,False,True,False,False,False,32.85663999999995
7294,CA-2019-113656,2019-01-23,29-01-2019,Standard Class,CB-12415,Christy Brittain,United States,Los Angeles,California,FUR-FU-10000719,Furnishings,"DAX Cubicle Frames, 8-1/2 x 11",59.99,7,21.5964,,Online,,,1,2019,False,False,True,False,False,False,False,186.13877
9147,US-2019-165505,2019-01-23,27-01-2019,Standard Class,CB-12535,Claudia Bergmann,United States,Burlington,Vermont,TEC-AC-10002926,Accessories,Logitech Wireless Marathon Mouse M705,99.98,2,42.9914,,COD,,,1,2019,True,False,False,False,True,True,False,219.65066999999988
9148,US-2019-165505,2019-01-23,27-01-2019,Standard Class,CB-12535,Claudia Bergmann,United States,Burlington,Vermont,OFF-AR-10003477,Art,4009 Highlighters,8.04,6,2.7336,,COD,,,1,2019,True,False,False,True,False,True,False,34.30781999999997
9149,US-2019-165505,2019-01-23,27-01-2019,Standard Class,CB-12535,Claudia Bergmann,United States,Burlington,Vermont,OFF-ST-10001526,Storage,Iceberg Mobile Mega Data/Printer Cart,1564.29,13,406.7154,,Online,,,1,2019,True,False,False,True,False,True,False,2573.5560500000006
4612,CA-2019-109407,2019-01-24,26-01-2019,Second Class,HG-14965,Henry Goldwyn,United States,Gulfport,Mississippi,OFF-BI-10000285,Binders,XtraLife ClearVue Slant-D Ring Binders by Cardinal,31.36,4,15.68,,COD,,,1,2019,False,True,False,True,False,True,False,60.01689999999994
4327,CA-2019-153346,2019-01-25,27-01-2019,First Class,TB-21355,Todd Boyes,United States,Plainfield,New Jersey,OFF-AR-10000315,Art,"Dixon Ticonderoga Maple Cedar Pencil, #2",9.21,3,2.3025,,COD,,,1,2019,True,False,False,True,False,True,False,29.25504000000001
4328,CA-2019-153346,2019-01-25,27-01-2019,First Class,TB-21355,Todd Boyes,United States,Plainfield,New Jersey,OFF-PA-10000007,Paper,"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""",18.0,5,8.28,,Cards,,,1,2019,True,False,False,True,False,True,False,27.207299999999996
9358,CA-2019-168046,2019-01-25,28-01-2019,Second Class,JD-15895,Jonathan Doherty,United States,New York City,New York,OFF-BI-10003676,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",43.12,5,15.092,,Online,,,1,2019,True,False,False,True,False,True,False,57.21167999999997
9359,CA-2019-168046,2019-01-25,28-01-2019,Second Class,JD-15895,Jonathan Doherty,United States,New York City,New York,FUR-TA-10001095,Tables,Chromcraft Round Conference Tables,313.722,3,-99.3453,,COD,,,1,2019,True,False,False,False,False,True,False,404.1065540000005
9360,CA-2019-168046,2019-01-25,28-01-2019,Second Class,JD-15895,Jonathan Doherty,United States,New York City,New York,FUR-FU-10000747,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,45.98,1,7.8166,,Online,,,1,2019,True,False,False,False,False,True,False,112.56487999999995
9361,CA-2019-168046,2019-01-25,28-01-2019,Second Class,JD-15895,Jonathan Doherty,United States,New York City,New York,OFF-ST-10004337,Storage,"SAFCO Commercial Wire Shelving, 72h",428.68,7,0.0,,Online,,,1,2019,True,False,False,True,False,True,False,277.9972400000002
8613,CA-2019-146437,2019-01-28,01-02-2019,Second Class,HG-14965,Henry Goldwyn,United States,Los Angeles,California,OFF-AR-10000588,Art,Newell 345,39.68,2,10.3168,,COD,,,1,2019,False,False,True,True,False,True,False,71.70766000000005
2885,CA-2019-164483,2019-01-30,03-02-2019,Standard Class,JF-15490,Jeremy Farry,United States,San Francisco,California,OFF-BI-10000014,Binders,Heavy-Duty E-Z-D Binders,17.456,2,5.8914,,COD,,,1,2019,False,False,True,True,False,False,False,30.213860000000036
7290,CA-2019-153661,2019-01-30,31-01-2019,First Class,SC-20725,Steven Cartwright,United States,San Francisco,California,OFF-ST-10000675,Storage,"File Shuttle II and Handi-File, Black",305.01,9,76.2525,,Online,,,1,2019,False,False,True,True,False,False,False,788.0774599999997
7291,CA-2019-153661,2019-01-30,31-01-2019,First Class,SC-20725,Steven Cartwright,United States,San Francisco,California,OFF-BI-10004781,Binders,GBC Wire Binding Strips,50.784,2,17.7744,,Online,,,1,2019,False,False,True,True,False,False,False,58.442399999999964
7292,CA-2019-153661,2019-01-30,31-01-2019,First Class,SC-20725,Steven Cartwright,United States,San Francisco,California,OFF-LA-10004689,Labels,Avery 512,26.01,9,12.2247,,Online,,,1,2019,False,False,True,True,False,False,False,90.36466000000006
7565,US-2019-166660,2019-01-30,01-02-2019,Second Class,TB-21250,Tim Brockman,United States,Seattle,Washington,FUR-CH-10001190,Chairs,Global Deluxe High-Back Office Chair in Storm,435.168,4,-59.8356,,COD,,,1,2019,False,False,True,False,False,False,False,496.8523199999996
7566,US-2019-166660,2019-01-30,01-02-2019,Second Class,TB-21250,Tim Brockman,United States,Seattle,Washington,FUR-BO-10000468,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,48.58,1,7.7728,,Online,,,1,2019,False,False,True,False,False,False,False,102.95673999999997
8176,CA-2019-114944,2019-01-30,04-02-2019,Standard Class,HE-14800,Harold Engle,United States,Chicago,Illinois,OFF-PA-10003892,Paper,Xerox 1943,156.512,4,52.8228,,COD,,,1,2019,False,False,False,True,False,True,False,615.9865999999998
8925,CA-2019-168032,2019-01-30,03-02-2019,Standard Class,DF-13135,David Flashing,United States,Rockford,Illinois,TEC-PH-10004241,Phones,Nokia Lumia 1020,1439.968,4,143.9968,,Online,,,1,2019,False,False,False,False,True,False,False,1147.3514999999986
8926,CA-2019-168032,2019-01-30,03-02-2019,Standard Class,DF-13135,David Flashing,United States,Rockford,Illinois,OFF-BI-10000546,Binders,Avery Durable Binders,1.728,3,-2.6784,,Cards,,,1,2019,False,False,False,True,False,False,False,55.31752000000002
8927,CA-2019-168032,2019-01-30,03-02-2019,Standard Class,DF-13135,David Flashing,United States,Rockford,Illinois,FUR-TA-10004256,Tables,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,626.1,3,-538.446,,Online,,,1,2019,False,False,False,False,False,False,False,636.1620799999993
4999,CA-2019-129238,2019-01-31,04-02-2019,Standard Class,SC-20050,Sample Company A,United States,Los Angeles,California,TEC-PH-10004120,Phones,AT&T 1080 Phone,109.592,1,8.2194,,Cards,,,1,2019,False,False,True,False,True,False,True,102.78076000000003
5000,CA-2019-129238,2019-01-31,04-02-2019,Standard Class,SC-20050,Sample Company A,United States,Los Angeles,California,OFF-PA-10002764,Paper,Easy-staple paper,56.7,5,27.783,,COD,,,1,2019,False,False,True,True,False,False,True,150.14540000000022
5114,CA-2019-147970,2019-01-31,02-02-2019,Second Class,AB-10150,Aimee Bixby,United States,Dallas,Texas,OFF-PA-10003936,Paper,Xerox 1994,15.552,3,5.4432,,Cards,,,1,2019,False,False,False,True,False,False,False,49.948019999999985
7505,CA-2019-158043,2019-01-31,04-02-2019,Second Class,JK-15325,Jason Klamczynski,United States,Atlantic City,New Jersey,OFF-EN-10003134,Envelopes,Staple envelope,23.36,2,11.68,,Cards,,,1,2019,True,False,False,True,False,True,False,37.012180000000015
8761,CA-2019-159891,2019-01-31,06-02-2019,Standard Class,BF-11170,Ben Ferrer,United States,Atlanta,Georgia,OFF-BI-10003527,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1270.99,1,635.495,,Online,,,1,2019,False,True,False,True,False,False,True,2503.859039999999
8762,CA-2019-159891,2019-01-31,06-02-2019,Standard Class,BF-11170,Ben Ferrer,United States,Atlanta,Georgia,OFF-EN-10004483,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",125.36,8,58.9192,,Cards,,,1,2019,False,True,False,True,False,False,True,268.1970200000003
3242,US-2019-140809,2019-02-01,03-02-2019,First Class,CK-12760,Cyma Kinney,United States,Arlington,Virginia,OFF-ST-10002214,Storage,X-Rack File for Hanging Folders,56.45,5,14.677,,COD,,,2,2019,False,True,False,True,False,True,False,143.15039999999988
8404,CA-2019-154067,2019-02-01,07-02-2019,Standard Class,SM-20950,Suzanne McNair,United States,Los Angeles,California,OFF-PA-10002254,Paper,Xerox 1883,1105.52,4,48.5392,,Online,,,2,2019,False,False,True,True,False,True,False,910.8702399999996
5614,CA-2019-147431,2019-02-02,07-02-2019,Standard Class,AB-10105,Adrian Barton,United States,New York City,New York,OFF-ST-10003994,Storage,"Belkin 19"" Center-Weighted Shelf, Gray",117.96,2,5.898,,COD,,,2,2019,True,False,False,True,False,False,False,125.03329999999988
8489,CA-2019-158841,2019-02-02,04-02-2019,Second Class,SE-20110,Sanjit Engle,United States,Arlington,Virginia,TEC-MA-10001127,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",4749.95,5,2799.984,,COD,,,2,2019,False,True,False,False,True,False,False,3868.7737400000015
8490,CA-2019-158841,2019-02-02,04-02-2019,Second Class,SE-20110,Sanjit Engle,United States,Arlington,Virginia,OFF-BI-10002557,Binders,Presstex Flexible Ring Binders,36.4,8,18.2,,COD,,,2,2019,False,True,False,True,False,False,False,72.27481999999988
8491,CA-2019-158841,2019-02-02,04-02-2019,Second Class,SE-20110,Sanjit Engle,United States,Arlington,Virginia,FUR-FU-10001731,Furnishings,Acrylic Self-Standing Desk Frames,18.69,7,7.1022,,Online,,,2,2019,False,True,False,False,False,False,False,70.17176999999994
8513,CA-2019-144645,2019-02-02,08-02-2019,Standard Class,NS-18640,Noel Staavos,United States,Houston,Texas,FUR-FU-10003601,Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",73.784,2,-77.4732,,COD,,,2,2019,False,False,False,False,False,True,False,147.09963999999982
5754,CA-2019-118514,2019-02-03,10-02-2019,Standard Class,LC-17050,Liz Carlisle,United States,Richmond,Kentucky,FUR-CH-10000015,Chairs,Hon Multipurpose Stacking Arm Chairs,866.4,4,225.264,,COD,,,2,2019,False,True,False,False,False,False,False,1044.1753499999986
6043,CA-2019-117912,2019-02-04,08-02-2019,Standard Class,TB-21520,Tracy Blumstein,United States,Sierra Vista,Arizona,FUR-FU-10002088,Furnishings,Nu-Dell Float Frame 11 x 14 1/2,14.368,2,3.9512,,COD,,,2,2019,False,False,True,False,False,False,False,59.84162000000003
